city,state,county,pop 2010,pop_density
New York City,NY,New York,8537673,13401.8
Los Angeles,CA,Los Angeles,12815475,3295
Chicago,IL,Cook,8675982,4612
Houston,TX,Harris,5446468,1401
Phoenix,AZ,Maricopa,4081849,1212
Philadelphia,PA,Philadelphia,5637884,4547
San Antonio,TX,Bexar,2002530,1204
San Diego,CA,San Diego,3210314,1683
Dallas,TX,Dallas,5733259,1524
San Jose,CA,Santa Clara,1821899,2257
Austin,TX,Travis,1638716,1144
Jacksonville,FL,Duval,1156291,460
Fort Worth,TX,Tarrant,874168,978
Columbus,OH,Franklin,1528314,1551
San Francisco,CA,San Francisco,3603761,7286
Indianapolis,IN,Marion,1564699,921
Seattle,WA,King,3643765,3336
Denver,CO,Denver,2787266,1774
Washington,DC,District of Columbia,5289420,4382
Boston,MA,Suffolk,4637537,5472
El Paso,TX,El Paso,845674,1025
Detroit,MI,Wayne,3522206,1873
Nashville,TN,Davidson,1076645,541
Portland,OR,Multnomah,2052796,1874
Memphis,TN,Shelby,1068873,793
Oklahoma City,OK,Oklahoma,955998,409
Las Vegas,NV,Clark,2073045,1747
Louisville,KY,Jefferson,1011696,910
Baltimore,MD,Baltimore,2170504,2917
Milwaukee,WI,Milwaukee,1377808,2389
Albuquerque,NM,Bernalillo,758523,1151
Tucson,AZ,Pima,868391,868
Fresno,CA,Fresno,698021,1781
Mesa,AZ,Maricopa,496401,1388
Sacramento,CA,Sacramento,1854698,1980
Atlanta,GA,Fulton,5228750,1384
Kansas City,MO,Jackson,1615621,599
Miami,FL,Miami-Dade,6381966,4969
Raleigh,NC,Wake,1018336,1235
Omaha,NE,Douglas,827786,1304
Long Beach,CA,Los Angeles,469450,3575
Virginia Beach,VA,Virginia Beach,1480383,710
Oakland,CA,Alameda,425195,2937
Minneapolis,MN,Hennepin,2926757,3019
Tulsa,OK,Tulsa,672054,785
Arlington,TX,Tarrant,396394,1597
Tampa,FL,Hillsborough,2804240,1305
New Orleans,LA,Orleans,1029123,896
Wichita,KS,Sedgwick,483057,935
Cleveland,OH,Cuyahoga,1730363,1915
Bakersfield,CA,Kern,574362,982
Aurora,CO,Adams,366623,921
Anaheim,CA,Orange,352497,2704
Honolulu,HI,Honolulu,833671,2234
Colorado Springs,CO,El Paso,623946,919
Santa Ana,CA,Orange,334136,4715
Riverside,CA,Riverside,2084749,1557
Corpus Christi,TX,Nueces,341435,787
Lexington,KY,Fayette,315939,438
Stockton,CA,San Joaquin,394467,1943
Henderson,NV,Clark,302539,1115
St. Paul,MN,Ramsey,306621,2277
St. Louis,MO,St. Louis,2078283,1929
Cincinnati,OH,Hamilton,1648254,1493
Pittsburgh,PA,Allegheny,1715297,2108
Greensboro,NC,Guilford,335588,869
Anchorage,AK,Anchorage,253421,66
Plano,TX,Collin,286143,1541
Lincoln,NE,Lancaster,285118,1159
Orlando,FL,Orange,1776841,982
Irvine,CA,Orange,277453,1633
Newark,NJ,Essex,285154,4560
Toledo,OH,Lucas,488672,1326
Durham,NC,Durham,407575,921
Chula Vista,CA,San Diego,270471,2104
Jersey City,NJ,Hudson,270753,7090
Fort Wayne,IN,Allen,328564,928
St. Petersburg,FL,Pinellas,263255,1643
Laredo,TX,Webb,260244,965
Madison,WI,Dane,439553,1250
Chandler,AZ,Maricopa,253458,1505
Buffalo,NY,Erie,926261,2472
Lubbock,TX,Lubbock,262505,767
Scottsdale,AZ,Maricopa,249950,524
Reno,NV,Washoe,433271,884
Glendale,AZ,Maricopa,246709,1601
Gilbert,AZ,Maricopa,242354,1374
Winston-Salem,NC,Forsyth,416581,712
North Las Vegas,NV,Clark,242975,957
Norfolk,VA,Norfolk,244703,1773
Chesapeake,VA,Chesapeake,240397,274
Garland,TX,Dallas,238002,1610
Irving,TX,Dallas,240373,1384
Hialeah,FL,Miami-Dade,239673,4317
Fremont,CA,Alameda,234962,1171
Boise City,ID,Ada,385218,1045
Richmond,VA,Richmond,1059907,1463
Baton Rouge,LA,East Baton Rouge,583613,1006
Spokane,WA,Spokane,403043,1218
Charlotte,NC,Mecklenburg,1467362,1081