City,State,id,Estimate!!Total,Estimate!!Total!!No vehicle available,Estimate!!Total!!1 vehicle available,Estimate!!Total!!2 vehicles available,Estimate!!Total!!3 or more vehicles available,"Estimate!!Total!!Car, truck, or van - drove alone","Estimate!!Total!!Car, truck, or van - drove alone!!No vehicle available","Estimate!!Total!!Car, truck, or van - drove alone!!1 vehicle available","Estimate!!Total!!Car, truck, or van - drove alone!!2 vehicles available","Estimate!!Total!!Car, truck, or van - drove alone!!3 or more vehicles available","Estimate!!Total!!Car, truck, or van - carpooled","Estimate!!Total!!Car, truck, or van - carpooled!!No vehicle available","Estimate!!Total!!Car, truck, or van - carpooled!!1 vehicle available","Estimate!!Total!!Car, truck, or van - carpooled!!2 vehicles available","Estimate!!Total!!Car, truck, or van - carpooled!!3 or more vehicles available",Estimate!!Total!!Public transportation (excluding taxicab),Estimate!!Total!!Public transportation (excluding taxicab)!!No vehicle available,Estimate!!Total!!Public transportation (excluding taxicab)!!1 vehicle available,Estimate!!Total!!Public transportation (excluding taxicab)!!2 vehicles available,Estimate!!Total!!Public transportation (excluding taxicab)!!3 or more vehicles available,Estimate!!Total!!Walked,Estimate!!Total!!Walked!!No vehicle available,Estimate!!Total!!Walked!!1 vehicle available,Estimate!!Total!!Walked!!2 vehicles available,Estimate!!Total!!Walked!!3 or more vehicles available,"Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!No vehicle available","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!1 vehicle available","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!2 vehicles available","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!3 or more vehicles available",Estimate!!Total!!Worked at home,Estimate!!Total!!Worked at home!!No vehicle available,Estimate!!Total!!Worked at home!!1 vehicle available,Estimate!!Total!!Worked at home!!2 vehicles available,Estimate!!Total!!Worked at home!!3 or more vehicles available
Albuquerque, New Mexico,1600000US3502000,260983,5348,64658,110149,80828,206790,1921,46898,90424,67547,26494,636,8666,10085,7107,4473,1193,1365,947,968,5525,532,2997,1456,540,4695,505,1461,1954,775,13006,561,3271,5283,3891
Anaheim, California,1600000US0602000,171612,2858,27676,62301,78777,132203,1337,17459,50600,62807,19836,335,4305,6414,8782,5340,580,1857,1200,1703,3788,536,1135,680,1437,3215,70,951,777,1417,7230,0,1969,2630,2631
Anchorage, Alaska,1600000US0203000,149885,4662,29856,69763,45604,115862,1821,22099,55518,36424,16620,46,3808,9034,3732,2899,977,872,749,301,4198,757,1255,1312,874,4915,1061,569,1574,1711,5391,0,1253,1576,2562
Arlington, Virginia,1600000US5103000,148461,11411,60244,55201,21605,78693,883,28800,33980,15030,9042,790,3159,3770,1323,39529,7605,19092,10076,2756,7458,1094,3789,1893,682,3833,368,1510,1452,503,9906,671,3894,4030,1311
Arlington, Texas,1600000US4804000,191798,2542,36934,80618,71704,157852,1401,29161,68106,59184,22249,455,4381,7713,9700,318,0,0,235,83,2090,287,1070,469,264,1537,347,396,519,275,7752,52,1926,3576,2198
Arlington, Illinois,1600000US1702154,40231,377,7220,22516,10118,30826,140,5046,17122,8518,2225,72,240,1534,379,2754,93,733,1285,643,546,0,41,464,41,888,72,438,178,200,2992,0,722,1933,337
Atlanta, Georgia,1600000US1304000,244022,22323,79596,102028,40075,165800,2154,55076,79808,28762,17228,1295,4288,7376,4269,26886,14451,6731,3763,1941,8299,2286,3684,1774,555,8425,1517,3355,1871,1682,17384,620,6462,7436,2866
Aurora, Colorado,1600000US0804000,192315,5485,34315,83497,69018,146675,975,24453,67062,54185,18997,553,3953,7129,7362,10419,3269,2924,2208,2018,2838,473,979,693,693,2189,0,239,1243,707,11197,215,1767,5162,4053
Austin, Texas,1600000US4805000,535728,19870,144780,248739,122339,397638,6874,104487,192202,94075,49533,1812,11239,20940,15542,17938,6124,6493,3817,1504,11934,2449,4094,4090,1301,11746,1734,3973,3992,2047,46939,877,14494,23698,7870
Bakersfield, California,1600000US0603526,152143,3914,26721,66017,55491,124483,1880,21625,56054,44924,16519,425,2650,5656,7788,1728,730,481,361,156,1098,549,260,147,142,3163,330,1047,1615,171,5152,0,658,2184,2310
Baltimore, Maryland,1600000US2404000,275664,45630,94166,95446,40422,165347,4596,60463,69052,31236,20725,3240,7406,6793,3286,51946,28445,13229,7632,2640,17917,6252,5720,5126,819,8037,2485,3132,1810,610,11692,612,4216,5033,1831
Baton Rouge, Louisiana,1600000US2205000,100348,5336,29371,40716,24925,82674,1526,22882,36050,22216,10249,1683,4231,2588,1747,2015,1527,213,275,0,1224,43,571,265,345,2006,557,768,477,204,2180,0,706,1061,413
Boston, Massachusetts,1600000US2507000,359082,83525,142614,97100,35843,139192,3937,55047,56515,23693,21792,3202,9715,6818,2057,128109,48869,50272,22237,6731,44264,19955,16513,5749,2047,15396,6059,6448,2403,486,10329,1503,4619,3378,829
Buffalo, New York,1600000US3611000,114093,15466,43854,40737,14036,77284,1671,31870,33258,10485,11681,2306,3983,3371,2021,14144,8366,4068,1325,385,5523,2368,2118,719,318,2846,673,1045,993,135,2615,82,770,1071,692
Chandler, Arizona,1600000US0412000,130767,1732,27712,59434,41889,103927,787,21695,47639,33806,10941,158,2679,4396,3708,1757,274,116,675,692,2440,238,550,1019,633,1684,275,498,591,320,10018,0,2174,5114,2730
Charlotte, North Carolina,1600000US3712000,452143,13398,123002,198313,117430,345930,3346,89730,157190,95664,41400,1679,13538,16349,9834,13732,5891,3719,2497,1625,8798,1194,4345,2429,830,7347,797,2778,1773,1999,34936,491,8892,18075,7478
Chesapeake, Virginia,1600000US5116000,117034,1979,19923,48639,46493,99700,569,16168,42397,40566,9902,595,2044,3376,3887,636,125,285,226,0,682,0,72,321,289,2181,690,742,579,170,3933,0,612,1740,1581
Chicago, Illinois,1600000US1714000,1317841,219624,519790,378773,199654,645094,12004,246999,249622,136469,100316,7434,36432,33273,23177,375141,141601,147325,61691,24524,82338,32676,35726,9311,4625,50016,16434,21884,8012,3686,64936,9475,31424,16864,7173
Chula Vista, California,1600000US0613392,120123,1738,16353,51907,50125,93607,684,11093,41714,40116,12642,0,1585,5432,5625,4182,872,860,1382,1068,1553,0,875,367,311,2104,41,572,552,939,6035,141,1368,2460,2066
Cincinnati, Ohio,1600000US3915000,147211,16751,49871,52859,27730,105904,2680,37993,43402,21829,14378,2712,4835,4570,2261,11663,8004,1965,793,901,7738,2226,2812,1512,1188,2371,942,585,427,417,5157,187,1681,2155,1134
Cleveland, Ohio,1600000US3916000,153937,14379,55391,55388,28779,109574,1935,41205,44440,21994,18873,2316,5820,6360,4377,13195,6603,3610,1855,1127,5626,1733,2547,896,450,2950,1420,964,198,368,3719,372,1245,1639,463
Colorado Springs, Colorado,1600000US0816000,223513,4362,44009,102664,72478,174019,1329,32594,82920,57176,24761,1338,6240,9481,7702,2963,214,993,710,1046,3674,667,1179,1173,655,2988,236,755,1560,437,15108,578,2248,6820,5462
Columbus, Georgia,1600000US1319000,74880,4585,16843,32508,20944,62377,1310,13664,28494,18909,6099,1540,1699,1647,1213,1348,769,311,137,131,710,61,170,242,237,1518,629,134,602,153,2828,276,865,1386,301
Corpus Christi, Texas,1600000US4817000,147808,2870,34055,65655,45228,124975,663,28458,57410,38444,13868,475,4209,4988,4196,1771,774,67,494,436,1316,345,236,398,337,1874,613,402,381,478,4004,0,683,1984,1337
Dallas, Texas,1600000US4819000,667292,26698,201044,274077,165473,507441,3937,150238,218826,134440,78388,5425,23648,29721,19594,26656,9945,9530,4127,3054,14195,3622,5868,3516,1189,10318,2569,3045,3722,982,30294,1200,8715,14165,6214
Denver, Colorado,1600000US0820000,391346,17941,109689,175660,88056,266249,3989,67566,128435,66259,31700,1733,7373,12902,9692,25744,5771,9943,6896,3134,16431,2598,7788,4651,1394,13580,1777,5033,5178,1592,37642,2073,11986,17598,5985
Des Moines, Iowa,1600000US1921000,110346,3617,25760,48956,32013,89818,1002,20767,41556,26493,9084,29,2033,3612,3410,2155,1080,846,196,33,3311,757,1258,835,461,2476,674,331,663,808,3502,75,525,2094,808
Detroit, Michigan,1600000US2622000,226789,22720,90273,74601,39195,162242,4680,65070,61003,31489,27290,4121,11848,7187,4134,14786,8757,3706,1922,401,7599,1973,3820,1048,758,6126,1760,2732,957,677,8746,1429,3097,2484,1736
Durham, North Carolina,1600000US3719000,134968,3392,39321,62065,30190,107384,793,29754,52037,24800,12758,807,4435,4220,3296,3255,992,1179,993,91,1995,188,1062,596,149,2466,119,879,1079,389,7110,493,2012,3140,1465
El Paso, Texas,1600000US4824000,295982,7876,56044,119484,112578,237126,866,41794,98896,95570,29767,1185,6431,11723,10428,6283,3327,1874,651,431,3873,1084,1004,667,1118,8768,1322,2331,2807,2308,10165,92,2610,4740,2723
Fort Wayne, Indiana,1600000US1825000,120663,2810,30047,51496,36310,99835,768,24120,43362,31585,12112,366,4544,4343,2859,926,684,106,106,30,1651,529,355,645,122,1788,197,585,662,344,4351,266,337,2378,1370
Fort Worth, Texas,1600000US4827000,421671,8160,78312,183689,151510,347021,3206,62909,151748,129158,47102,2308,8162,20691,15941,3362,718,723,997,924,5335,947,2984,1018,386,3837,940,1109,1223,565,15014,41,2425,8012,4536
Fremont, California,1600000US0626000,82758,1411,8564,35930,36853,58834,872,5274,25604,27084,9916,208,968,3719,5021,6656,219,1280,3171,1986,925,0,206,185,534,1242,112,182,436,512,5185,0,654,2815,1716
Fresno, California,1600000US0627000,210712,5883,55097,84304,65428,170427,2079,44633,70590,53125,21900,1287,5802,6777,8034,4239,1302,1407,1129,401,2469,301,936,768,464,2837,430,591,845,971,8840,484,1728,4195,2433
Garland, Texas,1600000US4829000,116378,1557,20301,44221,50299,93833,1176,14473,36347,41837,12844,173,2916,4243,5512,2561,88,1238,500,735,926,19,610,203,94,827,0,417,216,194,5387,101,647,2712,1927
Gilbert, Arizona,1600000US0427400,123163,2736,15820,63376,41231,99362,1692,12103,51302,34265,10342,49,1541,5992,2760,1256,515,164,419,158,1097,315,238,379,165,1606,95,461,593,457,9500,70,1313,4691,3426
Glendale, Arizona,1600000US0427820,111750,4093,21935,41176,44546,87459,1116,16558,33530,36255,12052,246,2441,4458,4907,3588,2340,277,459,512,1283,168,540,335,240,2336,223,678,576,859,5032,0,1441,1818,1773
Glendale, California,1600000US0630000,95330,2913,21451,39908,31058,74527,700,15463,31752,26612,6752,123,1992,3361,1276,3146,1023,996,570,557,3494,620,1120,1317,437,1635,257,674,410,294,5776,190,1206,2498,1882
Greensboro, North Carolina,1600000US3728000,136932,4655,39929,58871,33477,112786,1974,32560,49347,28905,11098,1203,3198,4487,2210,1417,698,615,0,104,1524,638,611,246,29,1359,142,523,199,495,8748,0,2422,4592,1734
Henderson, Nevada,1600000US3231900,141791,2280,27013,65238,47260,118180,819,21554,54761,41046,8476,46,1519,3812,3099,1682,886,283,190,323,1969,230,763,751,225,1811,299,274,763,475,9673,0,2620,4961,2092
Hialeah, Florida,1600000US1230000,113080,2581,25997,45945,38557,84025,850,18559,34585,30031,11131,316,2430,4178,4207,3274,685,1001,559,1029,600,0,348,176,76,2374,373,1090,310,601,11676,357,2569,6137,2613
Honolulu,Hawaii,0500000US15003,478090,17048,108291,169110,183641,319768,3054,62605,121817,132292,63822,1281,13506,23763,25272,38577,5720,12492,8625,11740,21722,4508,8782,5316,3116,17733,1938,6462,3588,5745,16468,547,4444,6001,5476
Houston, Texas,1600000US4835000,1078627,41539,320829,453989,262270,832053,7511,239314,372537,212691,112340,5800,37552,40059,28929,43082,18106,13398,7017,4561,22613,3627,10835,6212,1939,21739,4765,6784,7151,3039,46800,1730,12946,21013,11111
Indianapolis, Indiana,1600000US1836003,408058,14922,108469,182215,102452,333950,5398,88480,154367,85705,36302,1982,10904,13942,9474,7747,4667,1755,1004,321,7166,1352,2276,2390,1148,8208,1388,2318,3054,1448,14685,135,2736,7458,4356
Irvine, California,1600000US0636770,128104,1819,24074,74575,27636,95993,832,15269,57441,22451,11210,50,2760,6183,2217,1013,0,341,609,63,5132,342,1349,2626,815,5609,551,2638,1768,652,9147,44,1717,5948,1438
Irving, Texas,1600000US4837000,124455,3292,36203,55623,29337,104403,1110,30091,47323,25879,11083,767,3864,4424,2028,1176,325,268,538,45,1306,586,430,179,111,1423,283,419,561,160,5064,221,1131,2598,1114
Jacksonville, Florida,1600000US1235000,425648,14938,110801,187801,112108,341094,3656,86619,156273,94546,41297,2615,12227,16300,10155,7461,4537,1867,1009,48,6876,1258,2165,2403,1050,9475,2438,2467,2790,1780,19445,434,5456,9026,4529
Laredo, Texas,1600000US4841464,104800,1391,21991,37607,43811,86518,354,17732,32011,36421,11174,191,2216,3196,5571,693,113,111,399,70,1296,526,375,200,195,2548,207,708,1074,559,2571,0,849,727,995
Las Vegas, Nevada,1600000US3240000,300798,9790,70529,123752,96727,238131,2215,51096,102433,82387,26614,794,7376,9310,9134,9948,4278,3309,1385,976,4131,1058,1831,747,495,9506,1061,3724,3949,772,12468,384,3193,5928,2963
Lexington,Kentucky,0500000US21067,165061,6011,39564,77004,42482,130473,1827,28333,64191,36122,15450,948,5683,5217,3602,3412,2067,854,346,145,5152,589,2037,1844,682,3218,580,640,1427,571,7356,0,2017,3979,1360
Lincoln, Nebraska,1600000US3128000,149676,3685,31448,67162,47381,125279,1928,25399,56531,41421,12909,543,2681,6120,3565,2047,440,387,593,627,2894,577,965,991,361,1435,128,668,395,244,5112,69,1348,2532,1163
Long Beach, California,1600000US0643000,224890,9915,59794,88254,66927,173372,2827,43478,71348,55719,18416,1145,4889,6195,6187,12243,3826,3917,3177,1323,5310,653,1533,2394,730,4629,958,1793,1226,652,10920,506,4184,3914,2316
Los Angeles, California,1600000US0644000,1977779,117164,541287,731806,587522,1387388,18530,352170,555123,461565,181118,9192,47044,63263,61619,176821,58647,60086,36469,21619,57675,12327,21028,14276,10044,50406,10392,16733,13411,9870,124371,8076,44226,49264,22805
Lubbock, Texas,1600000US4845000,123675,2497,27675,58387,35116,101911,1364,20895,50154,29498,14646,413,4264,5795,4174,424,260,102,62,0,1863,400,405,667,391,1316,60,437,450,369,3515,0,1572,1259,684
Madison, Wisconsin,1600000US5548000,143967,10568,44099,63734,25566,89434,631,23166,46991,18646,13234,219,4040,6525,2450,13476,3380,6396,2634,1066,12492,4567,4857,1665,1403,8339,1450,2819,2848,1222,6992,321,2821,3071,779
Memphis, Tennessee,1600000US4748000,283663,10467,92494,107021,73681,236123,3788,77549,91999,62787,26196,2523,8350,7933,7390,4109,1889,1356,426,438,3891,795,1492,878,726,3750,1246,875,1020,609,9594,226,2872,4765,1731
Mesa, Arizona,1600000US0446000,232509,4919,54042,96462,77086,175507,1318,36824,77522,59843,28667,534,7247,10166,10720,3533,810,1839,240,644,3773,546,1700,1026,501,8329,1137,3057,2315,1820,12700,574,3375,5193,3558
Miami, Florida,1600000US1245025,49809,10419,20176,13525,5689,25021,340,11818,9297,3566,2628,232,1705,387,304,4506,2920,1206,274,106,4978,2351,1553,751,323,7081,3349,1923,949,860,5595,1227,1971,1867,530
Miami, Florida,1600000US1245000,220786,19405,88862,66565,45954,150573,2764,60903,51531,35375,19754,1017,6631,5857,6249,22219,9271,8608,2949,1391,7613,1898,4130,1014,571,6816,2396,2843,1159,418,13811,2059,5747,4055,1950
Milwaukee, Wisconsin,1600000US5553000,264306,22024,85821,105291,51170,195941,4774,62963,86986,41218,25674,2821,8247,8800,5806,18832,8945,5973,2739,1175,9863,3591,3249,1693,1330,4968,945,1954,1639,430,9028,948,3435,3434,1211
Minneapolis, Minnesota,1600000US2743000,238508,21121,76574,96578,44235,148402,2464,43810,70185,31943,16326,686,4850,7427,3363,30616,10304,11684,5647,2981,14400,3894,6492,2646,1368,14444,2691,4832,3851,3070,14320,1082,4906,6822,1510
Nashville, Tennessee,1600000US4752006,357067,7834,96690,157166,95377,282668,2258,74736,127783,77891,34208,667,10331,13657,9553,6896,2901,1809,1461,725,5651,624,2837,1836,354,3690,1176,1188,707,619,23954,208,5789,11722,6235
New Orleans, Louisiana,1600000US2255000,171124,16221,63682,64058,27163,117261,2352,44325,49354,21230,16075,1862,5711,5341,3161,10623,6259,3012,921,431,8268,2403,3358,2088,419,8622,2269,3579,2213,561,10275,1076,3697,4141,1361
Newark, New Jersey,1600000US3451000,113843,23915,45673,29206,15049,64077,1785,29741,22000,10551,9403,2092,3471,2553,1287,28687,14572,7973,3627,2515,8234,4167,3012,597,458,1498,879,423,196,0,1944,420,1053,233,238
Norfolk, Virginia,1600000US5157000,111128,5540,31636,46098,27854,87846,1436,24412,39045,22953,9309,836,2603,3579,2291,4142,1976,1285,572,309,3692,742,1159,1032,759,2068,485,781,479,323,4071,65,1396,1391,1219
North Las Vegas, Nevada,1600000US3251800,105331,2290,20225,38966,43850,87780,1015,15439,33254,38072,11055,190,2620,3751,4494,2134,647,803,642,42,692,292,234,30,136,1816,120,546,474,676,1854,26,583,815,430
Oakland, California,1600000US0653000,218235,16274,71953,76622,53386,109698,2144,31882,42636,33036,24507,869,7450,10048,6140,49586,9254,20025,13236,7071,9570,1606,4603,1971,1390,10583,1464,3396,3040,2683,14291,937,4597,5691,3066
Oklahoma City, Oklahoma,1600000US4055000,303455,6713,68464,132859,95419,253458,2146,56338,114127,80847,31473,1536,8513,10908,10516,2110,998,490,327,295,3855,1479,972,939,465,2336,461,541,829,505,10223,93,1610,5729,2791
Omaha, Nebraska,1600000US3137000,239993,7535,56849,107833,67776,197128,2068,45984,92900,56176,21910,2323,5065,7509,7013,3292,1438,561,598,695,4844,1017,1495,1553,779,3241,689,957,627,968,9578,0,2787,4646,2145
Orlando, Florida,1600000US1253000,148652,8747,46031,64278,29596,113113,1793,32869,53427,25024,11654,716,4648,3755,2535,6302,2833,2435,1034,0,4036,1523,1579,726,208,4698,1882,1074,516,1226,8849,0,3426,4820,603
Philadelphia, Pennsylvania,1600000US4260000,648021,111103,261287,181553,94078,334352,10741,133219,120148,70244,52814,3757,21576,18215,9266,155242,61260,61367,23642,8973,50322,19791,21198,7287,2046,28674,9950,11536,4532,2656,26617,5604,12391,7729,893
Phoenix, Arizona,1600000US0455000,777939,22961,185696,317954,251328,578010,5005,133661,245329,194015,103646,3137,24205,40441,35863,21307,7339,6954,3532,3482,11396,2902,3131,3171,2192,19977,3574,6502,5724,4177,43603,1004,11243,19757,11599
Pittsburgh, Pennsylvania,1600000US4261000,148396,17356,51862,58645,20533,85646,1708,25948,41375,16615,10914,819,5265,3762,1068,26513,9560,11186,4839,928,14493,3875,5489,4282,847,3325,706,1156,1003,460,7505,688,2818,3384,615
Plano, Texas,1600000US4858016,155863,2107,31359,73184,49213,129500,1232,25471,61508,41289,7388,156,1613,3112,2507,1914,0,458,1119,337,1678,719,231,416,312,1188,0,623,450,115,14195,0,2963,6579,4653
Portland, Oregon,1600000US4159000,353846,26902,101919,141060,83965,202462,2208,51774,92690,55790,30641,664,8064,13218,8695,44200,12768,16164,9684,5584,18721,5354,6737,3805,2825,27477,4825,8131,9167,5354,30345,1083,11049,12496,5717
Raleigh, North Carolina,1600000US3755000,254493,7448,64960,117781,64304,200461,3487,46771,96637,53566,17951,566,6575,7029,3781,4685,1822,1840,646,377,3991,863,1243,1493,392,3628,647,1449,815,717,23777,63,7082,11161,5471
Reno, Nevada,1600000US3260600,126284,4321,31248,51707,39008,96110,1203,22310,40821,31776,15286,565,4305,5680,4736,2706,1292,886,406,122,3594,707,1442,734,711,2750,412,1016,607,715,5838,142,1289,3459,948
Richmond, Virginia,1600000US5167000,110196,7552,34728,44980,22936,77811,1708,24867,33863,17373,10131,1043,3449,3195,2444,4871,1976,1030,1610,255,5597,1929,1879,1611,178,5463,533,1724,2153,1053,6323,363,1779,2548,1633
Riverside, California,1600000US0662000,146196,1835,22483,48160,73718,114285,918,15985,36761,60621,16974,485,2070,5896,8523,4452,195,1400,1010,1847,2466,202,963,876,425,2669,35,808,1098,728,5350,0,1257,2519,1574
Sacramento, California,1600000US0664000,226508,6631,56862,91676,71339,165423,1340,39056,70049,54978,26683,878,5119,10084,10602,8484,1487,3817,2481,699,4841,1203,2529,740,369,8038,1154,2349,3339,1196,13039,569,3992,4983,3495
San Antonio, Texas,1600000US4865000,699541,23974,162854,280242,232471,557054,7354,125679,233039,190982,73233,2279,19643,25596,25715,18860,7781,4728,3276,3075,9817,3171,3365,2149,1132,13036,2664,2869,4942,2561,27541,725,6570,11240,9006
San Diego, California,1600000US0666000,723660,18894,148602,303035,253129,555210,6540,106409,239922,202339,56870,610,11070,22666,22524,27845,5497,9998,7258,5092,15071,2027,4950,4781,3313,19518,2032,6487,5978,5021,49146,2188,9688,22430,14840
San Francisco, California,1600000US0667000,518011,115382,183069,137434,82126,168684,5637,57379,65758,39910,32517,3359,10055,10639,8464,180012,56666,64363,36382,22601,60498,30217,21180,5688,3413,39494,11651,15425,7805,4613,36806,7852,14667,11162,3125
San Jose, California,1600000US0668000,525351,10044,74865,200835,239607,397923,5136,51666,154119,187002,62715,833,7648,22529,31705,26046,2166,7016,9979,6885,6403,534,2378,1607,1884,10623,853,3062,2932,3776,21641,522,3095,9669,8355
Santa Ana, California,1600000US0669000,168159,4662,22258,47559,93680,120772,1423,12536,35917,70896,29122,1299,6013,7147,14663,8004,1297,1328,1797,3582,3866,319,1081,1432,1034,3051,251,479,594,1727,3344,73,821,672,1778
Scottsdale, Arizona,1600000US0465000,128169,1484,32603,59413,34669,95058,832,23528,42858,27840,11129,0,2748,5581,2800,1259,80,917,225,37,2191,435,802,634,320,2663,0,1345,715,603,15869,137,3263,9400,3069
Seattle, Washington,1600000US5363000,422550,40437,152938,155788,73387,200573,1820,61851,91564,45338,35003,1116,10176,16207,7504,96309,19133,42984,23076,11116,42829,13495,19687,7338,2309,17420,2981,7465,4863,2111,30416,1892,10775,12740,5009
Spokane, Washington,1600000US5367000,98336,2502,23804,43188,28842,75963,195,17725,34756,23287,11127,320,2440,4555,3812,3138,881,715,1083,459,2449,637,1327,283,202,1018,357,31,554,76,4641,112,1566,1957,1006
St. Louis, Missouri,1600000US2965000,152334,13245,53162,62334,23593,110707,1805,38080,51323,19499,10716,1202,3669,4041,1804,12344,6804,4485,684,371,6008,1565,3322,956,165,3064,908,781,1245,130,9495,961,2825,4085,1624
St. Paul, Minnesota,1600000US2758000,151446,8828,42393,65373,34852,101457,486,27158,47757,26056,18911,1422,5777,6597,5115,14699,4828,5054,3644,1173,5450,1266,1699,1342,1143,3820,723,1024,1660,413,7109,103,1681,4373,952
St. Petersburg, Florida,1600000US1263000,130805,5119,34508,60523,30655,102274,2417,25683,48277,25897,11163,314,2762,5706,2381,2215,878,594,613,130,2067,575,903,549,40,3280,680,1313,952,335,9806,255,3253,4426,1872
Stockton, California,1600000US0675000,125471,2447,24070,47016,51938,103195,1314,19516,39553,42812,14422,385,1891,5596,6550,1343,258,429,340,316,1270,131,565,115,459,2126,249,553,723,601,3115,110,1116,689,1200
Tampa, Florida,1600000US1271000,187111,8576,56468,79609,42458,145128,1766,43928,64634,34800,16936,1690,5153,6626,3467,4383,2316,1831,144,92,2757,954,482,1122,199,4519,1088,1160,1628,643,13388,762,3914,5455,3257
Toledo, Ohio,1600000US3977000,115466,6264,34352,44534,30316,94328,1585,27316,38964,26463,11078,1937,4074,2997,2070,3008,1381,744,718,165,2368,875,743,469,281,2260,418,878,294,670,2424,68,597,1092,667
Tucson, Arizona,1600000US0477000,234039,11793,66055,94826,61365,173903,1431,47000,76666,48806,24686,1599,7905,8019,7163,8146,4031,1848,1608,659,5673,2294,1319,1627,433,10100,1889,3391,2945,1875,11531,549,4592,3961,2429
Tulsa, Oklahoma,1600000US4075000,186630,5002,49971,75635,56022,151820,1694,40000,63942,46184,19461,961,5682,6463,6355,752,411,95,143,103,2574,723,884,717,250,4071,974,1144,1000,953,7952,239,2166,3370,2177
Washington, District of Columbia,1600000US1150000,364831,92160,160395,82906,29370,127837,5087,62701,42712,17337,18835,1698,8905,6943,1289,121478,47260,49561,18242,6415,42589,21055,15196,5410,928,28619,10373,11826,4576,1844,25473,6687,12206,5023,1557
Wichita, Kansas,1600000US2079000,182772,5982,35678,75175,65937,153989,1963,29406,64549,58071,17355,1612,3835,6281,5627,1517,645,670,75,127,2629,1180,496,781,172,2146,400,522,564,660,5136,182,749,2925,1280
Winston-Salem, North Carolina,1600000US3775000,108027,2627,29372,43119,32909,91666,1118,24955,36892,28701,6810,34,1156,3472,2148,1496,553,830,55,58,1439,205,924,291,19,708,259,283,59,107,5908,458,1224,2350,1876